HAB;WC;M2C;EST;AA;ARME;TERZ;INEX;ORIE;GJE;TRAS;ASC;PISC;ZV;PV
2;2;85;0;1;1;0;0;15;1;0;0;1;1;920.000
2;2;119;0;0;0;0;0;2;0;0;0;1;0;795.000
3;2;245;0;0;0;0;0;15;0;1;0;0;0;795.000
5;3;260;1;0;0;0;0;1;0;1;0;1;1;790.500
3;2;180;0;0;0;0;0;12;0;1;0;0;0;760.000
4;5;145;0;0;0;0;0;1;0;0;0;1;1;720.000
2;2;150;2;0;1;0;0;3;1;1;0;0;0;680.000
5;3;253;0;1;1;1;0;15;1;0;0;1;1;675.000
4;4;430;0;1;1;1;0;15;0;1;0;1;1;630.000
4;3;200;0;0;0;1;0;1;0;1;0;1;1;630.000
3;2;160;0;0;0;1;0;11;1;1;0;0;0;629.000
5;3;243;0;0;1;1;2;15;1;1;0;1;1;600.000
4;3;155;0;0;0;0;0;11;0;1;0;0;0;590.000
3;2;140;0;0;0;1;0;14;0;0;0;0;0;560.000
4;2;184;1;1;0;1;0;15;1;0;0;1;1;560.000
4;2;156;0;0;1;0;0;15;0;0;0;1;1;550.000
4;2;135;0;1;1;1;2;3;1;1;0;1;1;550.000
2;2;122;0;0;0;1;0;1;1;1;0;1;1;549.000
4;3;164;0;1;0;1;0;1;1;0;0;1;1;549.000
3;3;169;0;1;0;1;0;13;0;0;0;0;0;515.000
3;2;128;2;1;1;1;0;15;1;1;0;0;0;499.000
5;2;200;0;0;0;0;0;15;1;1;0;1;1;499.000
3;2;111;0;1;0;0;0;11;0;0;0;1;1;499.000
2;1;840;2;1;1;1;1;15;0;0;1;1;1;498.000
3;2;130;0;1;0;1;0;15;1;1;0;1;1;490.000
4;2;171;0;0;0;1;0;1;1;0;0;1;1;490.000
6;2;185;1;1;1;1;0;15;1;1;0;1;1;490.000
3;2;180;0;0;0;0;0;1;1;0;0;0;0;489.000
3;3;183;0;0;0;0;0;1;1;0;0;0;0;475.000
3;2;198;0;0;0;0;0;1;0;1;0;0;0;460.000
3;2;192;1;1;1;1;0;15;1;1;1;1;1;450.000
1;1;60;0;0;1;1;0;15;1;1;0;1;1;450.000
4;3;180;0;0;1;0;0;11;0;1;0;0;0;450.000
3;2;116;2;0;1;0;0;12;1;1;0;0;0;443.716
3;2;94;0;1;0;0;0;15;1;0;0;1;1;435.000
3;2;110;0;1;1;0;0;12;0;0;0;0;0;425.000
2;2;130;0;0;1;1;0;15;0;1;0;1;1;425.000
6;4;311;0;0;0;0;0;12;0;0;0;1;1;420.000
3;2;136;0;1;0;0;0;15;1;1;0;1;1;420.000
1;1;65;0;0;0;1;0;1;1;1;0;1;1;420.000
3;1;70;0;0;1;0;0;1;0;1;0;0;0;414.000
5;3;222;0;0;1;1;2;15;1;1;0;1;1;408.000
4;3;175;0;1;0;1;2;3;1;1;0;1;1;400.000
3;2;98;0;1;0;0;0;11;1;1;0;1;1;399.000
2;2;151;2;1;1;0;0;15;0;1;0;0;1;398.000
3;2;147;0;0;0;0;0;11;0;0;0;1;0;395.000
3;2;164;0;1;1;1;2;15;1;1;0;1;1;395.000
2;2;83;2;1;1;1;2;15;1;1;2;1;1;393.700
3;2;130;0;0;0;0;1;3;1;1;0;0;1;390.000
3;2;113;0;0;0;0;1;1;0;0;0;0;0;390.000
3;2;88;2;0;1;0;0;15;1;0;0;1;1;380.000
3;2;130;0;0;0;1;0;15;1;1;0;1;1;380.000
3;2;130;0;0;0;0;0;15;0;0;0;0;0;379.900
2;2;126;2;0;0;0;0;1;0;0;0;0;1;379.000
3;2;103;0;0;0;1;0;11;0;1;0;0;1;375.000
2;2;90;0;0;0;1;0;1;0;0;0;1;1;375.000
2;2;100;2;0;1;0;0;1;0;1;0;1;1;370.000
3;2;75;0;0;0;1;0;12;1;0;0;0;1;370.000
3;2;104;0;1;0;1;0;1;0;0;0;1;0;365.000
3;2;115;0;0;0;1;2;15;1;0;0;0;0;360.500
3;2;105;0;1;0;0;0;1;0;0;0;1;1;360.000
4;3;270;0;0;0;1;0;15;0;1;0;1;1;360.000
2;2;117;2;1;1;0;0;15;0;1;0;0;1;355.000
4;3;150;0;1;1;1;0;11;0;0;0;1;1;355.000
2;1;128;2;1;1;0;0;15;0;1;0;0;0;355.000
4;2;180;2;0;1;0;0;15;0;0;0;1;1;350.000
4;2;150;0;1;0;0;0;14;0;0;0;1;1;350.000
2;2;90;0;1;0;0;0;1;1;0;0;0;1;350.000
2;2;160;0;0;0;0;1;2;0;1;0;0;1;350.000
3;2;75;0;0;0;1;0;2;1;1;0;0;1;350.000
4;3;170;0;1;0;1;0;15;0;0;0;1;1;350.000
2;2;211;2;0;1;1;2;11;1;0;0;0;1;350.000
5;3;238;0;1;1;1;2;15;1;0;1;1;1;348.000
2;2;122;0;0;0;1;0;3;1;1;0;1;1;346.000
2;2;130;0;0;0;0;0;12;0;1;0;0;0;345.000
4;2;116;2;0;0;0;0;15;0;1;0;0;0;345.000
4;3;180;0;1;0;1;0;14;1;1;0;1;1;340.000
3;2;96;2;1;1;1;2;15;0;0;0;0;1;340.000
2;2;120;0;0;0;0;0;1;0;0;0;0;0;340.000
2;2;147;2;0;1;0;0;2;1;0;0;0;0;340.000
3;2;152;0;1;0;0;0;11;0;0;0;1;1;339.000
3;2;120;0;0;1;1;2;15;1;0;0;1;1;332.054
4;3;140;0;1;0;1;0;1;1;0;0;1;1;330.000
4;2;160;0;1;1;0;0;15;1;1;0;1;1;330.000
2;2;104;0;1;1;0;0;1;1;1;1;0;0;325.000
4;2;190;0;0;0;1;0;2;1;1;0;1;1;325.000
3;2;100;0;1;1;0;0;15;0;0;0;1;1;325.000
4;2;143;2;1;1;1;2;15;1;1;0;0;1;323.000
2;2;85;0;0;0;0;0;15;0;1;0;0;0;320.000
4;2;143;2;1;1;1;2;15;1;1;0;0;1;318.000
3;2;110;0;1;1;0;0;15;0;0;1;1;0;315.000
3;2;80;0;1;0;0;0;15;1;1;0;1;1;315.000
2;1;95;0;1;1;0;0;1;0;1;0;1;1;315.000
4;3;156;1;0;1;1;0;12;1;1;0;1;1;310.890
4;2;145;0;1;0;0;0;15;1;1;0;1;1;305.000
3;2;100;0;1;0;0;0;1;0;0;0;0;0;304.400
3;2;80;2;1;1;0;0;15;1;1;0;0;1;303.000
2;2;90;0;1;1;1;0;15;0;0;0;1;1;300.000
4;2;115;2;1;1;1;0;15;1;1;0;0;1;299.500
2;2;93;0;1;1;0;0;15;1;0;2;1;1;299.000
3;2;100;0;1;0;0;0;15;1;0;0;1;1;298.000
1;1;135;2;0;1;0;0;1;1;1;0;0;0;298.000
3;2;110;0;1;0;0;0;2;0;1;0;1;1;296.000
3;2;123;0;0;0;0;0;15;0;0;0;1;0;295.000
3;1;78;0;1;0;0;0;15;1;1;0;1;0;290.000
3;2;118;0;1;0;0;0;2;0;1;0;0;0;290.000
3;2;108;0;0;0;0;0;1;0;0;0;0;1;290.000
3;2;130;0;0;0;1;2;1;1;1;0;0;0;290.000
2;2;114;0;1;1;0;0;15;0;0;0;0;0;290.000
4;3;160;0;1;0;0;0;15;0;0;0;1;1;289.500
4;3;150;0;1;0;0;0;3;0;0;0;1;1;289.500
3;2;156;2;1;1;0;0;15;0;0;0;0;0;289.000
3;2;157;2;1;1;0;0;15;0;0;0;0;0;289.000
3;2;123;0;1;0;1;0;2;0;1;0;1;1;288.500
3;2;95;0;1;0;0;0;15;0;0;0;1;0;287.000
3;2;105;0;1;0;0;0;1;1;1;0;1;1;287.000
5;2;149;0;1;1;1;0;15;0;0;0;1;1;285.000
10;4;649;0;1;0;0;0;15;0;1;1;1;1;285.000
4;2;110;1;1;1;1;0;15;1;1;0;1;1;285.000
